reviewer_orcid,reviewer_title_doi,reviewer_title,reviewer_paper_attribure
1253,,Exact and Approximate Algorithms for Finding k-Shortest Paths with Limited Overlap,path algorithm alternatives multipass onepass prune ing roads similarity edge resulting lemma method networks  path algorithm alternative set computed 
851,,COP: Planning Conflicts for Faster Parallel Transactional Machine Learning,algorithms transaction learned machines data execute workers perform models versioned plans locks occ datasets processes  execution reads algorithms order 
987,,Reconstruction Privacy: Enabling Statistical Learning,privacy data records values sensitivity attributes perturb noise answer distributions considering queries database large engineers  privacy answer sensitive data small 
783,,Maritime Data Integration and Analysis:  Recent Progress and Research Challenges,data maritime informed integrate vessel processes challenge timely streams ais uncertainty event levels source recently  data integrated streaming maritime analytics 
1367,,Grid-Index Algorithm for Reverse Rank Queries,querying algorithms products data ranked reverse grids value figure costs scans rrq vectors  scan index algorithm efficiently processes 
1255,,Spatial Data Management Challenges in the Simulation Sciences,simulating spatially indexed query data updat element modeled computations need memory tion intersecting performance  simulations spatial need updating visualization 
780,,Similarity Search on Spatio-Textual Point Sets,similarities users object querying textually spatially algorithm joined matches set index spatio base efficiency pair  similar textual spatial algorithms objects 
1348,,Query Optimization over Cloud Data Market,data queries plans accessing optimizing joined payless markets figures rest datasets section weather like theorems  data queries optimal market transactions 
1211,,Slowing the Firehose: Multi-Dimensional Diversity on Social Post Streams,posted user time authored content streaming similarity social differ distances simhash twitter problems clique diversity  post stream similar time efficiency 
806,,Leveraging Bitmap Indexing for Subgraph Searching,graphs querying index bitmaps cti algorithms databases feature ggsx stages size fingerprint path techniques time  ftv trees index ggsx graph 
703,,Scalable Public Transportation Queries on the Database,labelling query hubs working databases vertex tables knn network graphs public sql ptldb ttl time  labels queries sql networks framework 
1269,,Storing and Analyzing Historical Graph Data at Scale,graphs temporal snapshot delta indexes time difference data node stored changing setting definition tgi frameworks  graphs data efficient snapshot stored 
1332,,Extending Cross-Domain Knowledge Bases with Long Tail Entities using Web Table Data,tables clusterer instance classes value rows matches player based song property label new web method  table value instance property match 
1104,,Resolving XML Semantic Ambiguity,xml semantically node words disambiguating contexts concept data processed structure bases documents senses method trees  semantically xml based disambiguated context 
1115,,In-DBMS Sampling-based Sub-trajectory Clustering,trajectories cluster samples sub voted dbms data proposes pattern represented segmenting based similar algorithms  trajectory sub clusters detected local 
1366,,Efficient Network Reliability Computation in Uncertain Graphs,graph networks sample reliabilities technique edge approaches efficiency sections bdd respectively uncertain existent following node  network approach sample reliability existence 
1308,,Scalable Evaluation of k-NNQueries on Large Uncertain Graphs,queries indexes graph tree distance decompositions node probabilities information bags functions network steps edges searched  indexes queries distance bag graphs 
717,,Exploiting the query structure for efficient join ordering in SPARQL queries,querying sets joined optimizing triples costs data rdf plans ings tion graphs times sec  joining cost query book optimal 
1358,,On Optimality of Jury Selection in Crowdsourcing,votings qualities strategies worker problems juries task answered optimize budget figure sections randomness definition table  answer task strategies posterior votes 
803,,Toward Hardware-Sensitive Database Operations,processed code memory implementing database data hardware feature differ instruction pipelining capability cpu algorithm parallel  database process devices algorithm hardware 
1127,,Learning to Rank Adaptively for Scalable Information Extraction,document extracted ranked learned approach processes information features query related tions models steps based uses  document extracted learning tion 
698,,An Automated System for Internet Pharmacy Verification,pharmacies drug algorithm problems online legitimate model classifiers health text documents differences feature com uses  pharmacy legitimate health problems features 
682,,User-guided Repairing of Inconsistent Knowledge Bases,repaired constraint users updat fixing cdd john base consists related data generic kbs value examples  base john sets update 
881,,Distributed query-aware quantization for high-dimensional similarity searches,queries data bsis similar distribute bits distances point indexed attributes quantizations values functions tions dimension  query indexing bsi dimensional quantization 
971,,Online Set Selection with Fairness and Diversity Constraints,item algorithm scores diverse attribute constraint problems categories selected setting online utility order slack values  utility subject diverse selecting attribute 
1272,,"MinoanER: Schema-Agnostic, Non-Iterative, Massively Parallel Resolution of Web Entities",entity blocks match values similarities data description kbs functions differences valuesim minoaner based figure neighbor  values description based entities blocks 
1165,,Discovering Recurring Patterns in Time Series,pattern periodicity databases mined example times recur finds tree definitions modeled data minsup table item  period patterns times informs 
1350,,K-Nearest Neighbor Temporal Aggregate Queries,query aggregating indexed tree sections nodes poi entries spatial data times difference temporal large based  indexing aggregate ranking simultaneously spatial 
1097,,PStorM: Profile Storage and Matching for Feedback-Based Tuning of MapReduce Jobs,profiled job tuned pstorm data feature values key executes base differ starfish inputs figuration matched  pstorm profiles reducers executes starfish 
1013,,Exploring Text Classification for Messy Data: An Industry Use Case for Domain-Specific Analytics,data errors analytically classification texts similar industrial figuration quality process class feature base code report  data errors classification text analytically 
1286,,Optimizing Selection Processing for Encrypted Database using Past Result Knowledge Base,encrypts index data prkb queries process uses partition database informed methods selections exists security edbms  encryption process selection prkb knowledge 
1202,,Estimating Data Integration and Cleaning Effort,data effort integrate estimated schema problem task complexities values sources mappings requires com databases differ  data effort require target settings 
866,,Subgraph Querying with Parallel Use of Query Rewritings and Alternative Algorithms,queries graphs algorithm perform dataset method matched time subgraphs indexing problems nodes isomorphism averages processed  methods graphs performance process algorithm 
1242,,A Selectivity based approach to Continuous Pattern Detection in Streaming Graphs,subgraphs graph querying edge matched algorithmic time tree searches data patterns process nodes approaches streams  graphs subgraphs matches edge process 
776,,Task-Optimized Group Search for Social Internet of Things,siot problems socially tasks objective solution tioned different accuracy groups algorithms edge sections performs given  group robustness siot accuracy toss 
1175,,Data Ingestion in AsterixDB,data feed asterixdb figure processed provided datasets string creating users differences ingesting multiple type sources  data feed popular persistence sources 
722,,Buddy Instance - A Mechanism for Increasing Availability  in Shared-Disk Clusters,instances databases recovery cached checkpoint rac change clustered redo oracle perform logs figure pass buffers  instances logs recovery checkpoint cluster 
1122,,Context-aware Event Stream Analytics,contexts events query application windows times modeling caesar plans car figure congested traffic complex processed  contexts events cars queries modeling 
826,,Graph Analytics on Massive Collections of Small Graphs,graphs querying recorded node relation paths data delivery applicable edges measurements differ existence manage aggregates  graph node existence recorded query 
1045,,Efficient Secure k-Nearest Neighbours over Encrypted Data,data clouds encrypt securely computational parties value algorithmic client information schemes resulting learned protocols point  queries cloud result protocol encrypted 
1278,,Global-Scale Placement of Transactional Data Stores,transactions datacenter latencies reading replicas placements gplacer data differ application protocols model consistent phase replicate  transactions gplacer latency protocol average 
1324,,Counting Edges with Target Labels in Online Social Networks via RandomWalk,sampling estimation labeled user node section edge random based algorithm graphs specific processes sets implemented  estimation sampling edge random target 
1231,,Using Object-Awareness to Optimize Join Processing in the SAP HANA Aggregate Cache,aggregated table query cached joining partitioning data mains application deltas match ing base performance pruned  query join table object aggregates 
907,,Identifying User Interests within the Data Space - a Case Study with SkyServer,querie area database data accesses users different sql logged relations follows objective extracts specific spaces  querying data state space area 
815,,Identifying and Describing Streets of Interest,street poi segment querying soi cells work algorithm lines based problems differences textual source informative  pois contained diversity discover textual 
1081,,Efficient Processing of Hamming-Distance-Based Similarity-Search Queries Over MapReduce,indexes ham data distances node binary algorithms query hashing similar tuple searching based code  binary ham similar based hash 
1318,,ID Repair for Trajectories with Transition Graphs,trajectory repairs graph examples location candidate problems algorithm definitions ids values given setting record subsets  repairs trajectories erroneous valid graph 
985,,Efficient Skyline Computation in MapReduce,partitioned skylines mapreduce data algorithm reduced values bitstrings locally computed section bsr work tuple dominate  skyline algorithm based data mapreduce 
874,,Big Data Analytics for Time Critical Maritime and Aerial Mobility Forecasting,data trajectories event timely operating analytical processing supports stream analysis pattern position predictable ing maritime  data event time analytic trajectory 
1258,,Data-driven Schema Normalization,normalizations related fds algorithmic schema data key components automatically attribute violations proposed step semantic bcnf  normal relations step key 
1096,,Parallel Array-Based Single- and Multi-Source Breadth First Searches on Large Dense Graphs,graph bfs parallelize algorithmic sources vertex single bits memory figure works iterates machines bfss data  sources multi graphs bfs algorithm 
1298,,Efficient Parallel Spatial Skyline Evaluation Using MapReduce,skylines data spatially region point based objects parallelize partition algorithm query functionality methods independence hulls  skyline independent regions function phase 
960,,Indexing Query Graphs to Speedup Graph Query Processing,graph querying subgraphs performing indexes igq approach dataset works process differently time sets chemical large  subgraphs querying indexing approach processing 
830,,Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis],modeled users documents similarities based followed topic informal weighting graphs tweet twitter words posted recommender  models based users post microblogging 
1056,,Efficient Computation of Containment and Complementarity in RDF Data Cubes,data dimension observe containing value based clusters dataset times measured differ computed multidimensional com rdf  contain data different rdf algorithm 
1159,,A Six-dimensional Analysis of In-memory Aggregation,aggregates data querying hash_lp keys algorithm sorts distributions memory performing functions dimension times probe table  performs aggregate hash algorithm 
903,,Talking To The Database In A Semantically Rich Way,method applications databases data selected performs executes developed ways figure level logic objects coding program  application select orm method execution 
816,,Scalable Parallelization of RDF Joins on Multicore Architectures,joined data querying rdf tables memory useful approach indexed parallelizing different processes relations base triple  joins rdf stores approaches data 
836,,Convex Risk Minimization to Infer Networks from Probabilistic Diffusion Data at Multiple Scales,diffuses state times network modeling infection probable traces probabilistically node estimation inference xuv scale observations  diffusion states traces time networks 
956,,VENUS: Vertex-Centric Streamlined Graph Computation on a Single PC,graphs venus computations data sharding disk vertex memory edges modeled graphchi values algorithms based new  computational graph architecture memory venus 
804,,Understanding Computer Usage Evolution ,segmentations users times usage data behaviors modeling errors proto informed applications base processes orion approach  usage segment user orion proto 
993,,Searchlight: Context-Aware Predictive Continuous Querying of Moving Objects in Symbolic Space,queries timely object management located algorithm searchlight processed patches continuously lid fig movements read  querying searchlight movement continuously prediction 
766,,On Historical Diagnosis of Sensor Streams,sketch sensors times querying historical node value storage levels horizon stream signals data component aggregate  time signals historical node levels 
958,,Conflict-Aware Event-Participant Arrangement,events conflicting problems paired flows arrange geacc approximate matched example user capacities algorithm definition attribute  events arranged problem flows geacc 
1274,,Entity Resolution with Crowd Errors,clusterings question record corollaries algorithms human entities sets phc error answered evidence fig asking probabilities  question cases humans answered qvzhuv 
1356,,Real Time Personalized Search on Social Networks,socially distances record queries time searching cubes partitions network user dimension efficiency index pruned snp  social time efficiently search network 
1145,,LLAMA: Efficient Graph Analytics Using Large Multiversioned Arrays,graphs llama snapshotting vertex data memory edge page table systems performance design array csr contain  snapshot contain edge llama graph 
1203,,Efficient Sample Generation for Scalable Meta Learning,sampled row generates data distributed algorithm learned randomize matrix model grouping partition machines efficiency  sampling generating blocked phase row 
1213,,Fine-Grained Controversy Detection in Wikipedia,editing controversial content page wikipedia user identified data entry known changed author different semantics informed  edits controversy words model detecting 
1025,,Temporal Spatial-Keyword Top-k Publish/Subscribe,queries object scoring resulting spatial base geo texts example tweet new follows indexed ranking located  query spatial time objects text 
988,,False Rumors Detection on Sina Weibo by Propagation Structures,user messages features reposting false normalize follower propagation rumor word kernels trees based weibo figure  propagation features kernels messages rumors 
825,,Nearest Neighborhood Search in Spatial Databases,queries algorithms problems nearest point nec cluster circles secs spatial lemmas nnh locations distance neighborhoods  problem nearest algorithm encloses query 
1289,,STREAMCUBE: Hierarchical Spatio-temporal Hashtag Clustering for Event Exploration over the Twitter Stream,hashtags events clustered tweets time difference cubes base data user regions algorithms new working similar  time cubes event hashtags temporal 
1191,,On Random Walk Based Graph Sampling,algorithm sampled graphs random nodes walks generated gmd estimators based degree rcmh problem distributions function  algorithm sample random node graph 
1315,,Querying K-Truss Community in Large and Dynamic Graphs,communities algorithm edge trussness compute index structure graph query vertex triangle connection searching support subgraphs  community graphs index algorithm trussness 
734,,Mining Maximal Cliques from an Uncertain Graph,graphs algorithms clique probabilities possible maximality definitions network different searching let problem mule enumerates edges  algorithm case probabilities clique largest 
1245,,Scalable SimRank Join Algorithm,algorithms simrank similar graph computations problems procedure large matrix letting thresholding network follow time pages  algorithm simrank similar real recursively 
843,,Privacy-Aware Dynamic Feature Selection,privacy features data server predictability confidence selecting information inputs classification applicants classify probabilities base  features privacy dynamic data training 
1368,,Conservative or Liberal? Personalized Differential Privacy,privacy mechanism user pdp definitions data differentially personal value function randomized levels utility tuples samples  privacy randomness mechanism uniform users 
1336,,Preserving Privacy in Social Networks Against Connection Fingerprint Attacks,users social network attack vertices anonymize privacy informally structurally edges cfps vertex publicity work hop  hop anonymization networks user attacker 
1293,,Short Text Understanding Through Lexical-Semantic Analysis,semantically texts term segment typed concepts approach instances algorithm tags contexts times definition works knowledge  texts type segmentation semantically april 
1206,,Differentially Private Frequent Sequence Mining via Sampling-based Candidate Pruning,sequences differential privacy frequently mined algorithms based privately databased effect supports data lengths consecutively frequencies  sequences frequent mining privately fsm 
1163,,LDV: Light-weight Database Virtualization,provenance applicable dependency modeling data packaging tuples processes executes virtual uses approaches query relation traced  models depend data file 
1378,,PIE: Approximate Interleaving Event Matching over Sequences ,events matches stated data ordering interleave pattern time parallel difference letters processed chains complexity branch  events pattern match parallel expression 
1059,,Bi-temporal Timeline Index: A Data Structure for Processing Queries on Bi-temporal Data,times indexes temporal applicable data query event trees perform space databases point design based storage  indexing temporal time germany 
1042,,Automatic Tuning of Bag-of-Tasks Applications,task aplug workload decompositions parallelism users times speedup distributions sequences samples dynamically application figure computes  aplug tuning users distribution best 
972,,"Multicore Triangle Computations Without Tuning Julian Shun1, Kanat Tangwongsan2",parallelization algorithm graph triangles caches counts edge works memory ranked direction requiring performs efficiency machines  cache algorithm parallelization triangles counting 
1066,,Meaningful Keyword Search in Relational Databases with Large and Complex Schema,answers rankings schemas trees keywords relevant companies relation roles queries customers method minimality database measured  keywords joining relation schemas minimal 
1360,,Quick-Motif: An Efficient and Scalable Framework for Exact Motif Discovery,subsequent motifs distance pairs groups times mbrs paa algorithm pruned normalizing methods discovery solution levels  subsequences distances motif paa pair 
735,,Hierarchical In-Network Attribute Compression via Importance Sampling,networks slices nodes value compressed regions sampled algorithm errors real attributes radius problems theorem given  network slices compresses regions nodes 
873,,Piecewise Linear Approximation of Streaming Time Series Data with Max-error Guarantees,plas problems segment data algorithms errors windows works case optimality lines lemma time points piecewise  pla working data optimally windows 
1190,,Dish Comment Summarization Based on Bilateral Topic Analysis,modelling aspect reviewer dishes comments snippet topics generating based restaurants scores summarized opinionated texts algorithmic  comments dish topic analysis based 
1277,,A Comparison of Adaptive Radix Trees and Hash Tables,hashes node keys data judy memory tree art cache indexes design performed like differences prefix  key memory data experimental cache 
723,,PerfAugur: Robust Diagnostics for Performance,anomaly performs data predicate algorithm attribute based services scored approaches outlier identified uses values distribution  perform data outliers service systemic 
1029,,Efficient Metric Indexing for Similarity Search ,pivots objective trees similar distances queries spaces efficiently search indexes algorithm metrics select section costs  pivots index storage performance costs 
787,,Window-Chained Longest Common Subsequence:  Common Event Matching in Sequences,windows match algorithm sequenc examples lines wlcs lcs timing wclcs events weights counts sorts  windows match longest time algorithm 
885,,Towards a Parameter-Free and Parallel Itemset Mining Algorithm in Linearithmic Time,pattern itemsets set transactions algorithmic data mined frequent problems similarity hashes approximately times approaches example  data algorithm scaling itemsets set 
924,,Seamlessly Integrating Disk and Tape in a Multi-tiered Distributed File System,tapes files data gpfs glufs storage disks ltfs tiering accesses migrated provided manager hsm node  files tape data glufs gpfs 
974,,Robust Clustering of Multi-type Relational Data via a Heterogeneous Manifold Ensemble,clusters data method objective subspaces neighbour matrix multiplicative based difference learned types hocc graph value  learned neighbours relationship based manifold 
786,,Diversified Caching for Replicated Web Search Engines,querying cached problems server solution replicating termed qtrain posting method different partitions time list  cache query posting search solutions 
1024,,Groupwise Analytics via Adaptive MapReduce,data grouped mapreduce query record sampling resulting garam distribution algorithm mappers numbers processed coordinating locality  setting important mapreduce data 
800,,Dynamic Physiological Partitioning on a Shared-Nothing Database Cluster,nodes queries data energy operation clustered performed storage workload process dynamically record network dbms  node workloads dynamic query processing 
948,,Personalized Route Recommendation using Big Trajectory Data,trajectories routing driver graph prefer recommends edges based timely fig difference indexing driving values constructed  trajectory routing prefer edges weight 
906,,Progressive Diversification for Column-based Data Exploration Platforms,data distances prunes query resulting diversity diversification point vprune compute dimensionality setting based pgreedy provided  data diversification points distance current 
1027,,Diversified Top-K Clique Search,algorithms cliques maximized result problem solutions node graphs prune computing memory largely section priv search  algorithm approximation cliques search strategy 
1098,,The Power of Both Choices: Practical Load Balancing for Distributed Stream Processing Engines,keys loads streams peis sources message grouping bin requiring independent application aggregations choice distributions partial  streaming key loaded peis grouping 
1195,,The Safest Path via Safe Zones ,algorithm paths edge safely graph zone distances problems unsafe hyperbola region shortest figure euclidean  paths euclidean graph algorithm problems 
1082,,INSURE: An Integrated Load Reduction Framework for XML Stream Processing,queries flushes output drops data candidates quality based processes streams results xml solutions fusion arrival  query generation optimizer stream drops 
1321,,The DBMS ? your Big Data Sommelier,data queries loaded metadata times file plans actually joined chunked examples accesses value relations containing  query data metadata value access 
1304,,Scaling up Copy Detection,copies value data indexes detecting scores source computations sharing techniques example differences accuracy item entry  copied techniques compute score detect 
694,,Scalable Distributed Transactions across Heterogeneous Stores,transactional data stored recorded commits version keys items time prepare accessible datastore reads abstracted clients  data transaction storage stored key 
1186,,Supporting Hierarchical Data in SAP HANA,hierarchy nodes queries hierarchical related data sql tables base structural xml fig supports requirement express  hierarchy nodes sql hierarchical data 
1063,,Proof Positive and Negative in Data Cleaning,rule data repaired sherlock based figure similarity capitals attribute problems values examples matching dependability section  rule errors given data hard 
916,,A Location-Aware Publish/Subscribe Framework for Parameterized Spatio-Textual Subscriptions,spatial subscribers filtering token regions message subscription similarities prefixes textual based aware pruned high relevancy  spatial textual bound tokens 
1023,,Chronos: An Elastic Parallel Framework for Stream Benchmark Generation and Simulation,generally chronos data distributed columns database news based benchmarking frameworks processed domain latent correlated parallelism  generate distributed new data chronos 
769,,Cleaning Uncertain Data with a Noisy Crowd,data hits answering crowdsourced crowds quality uncertain given tuple attribute values human questions definition probabilities  hits incorrect answered accuracy given 
1093,,Configurable Hardware-based Streaming Architecture using Online Programmable-Blocks,tuple queries block designed streams processed operate data instructions controls memories unit hardware timing buffers  controller data block buffers processing 
893,,Making Sense of Trajectory Data: A Partition-and-Summarization Approach,trajectories features road differences partitions semantic summarized travellers texts times followed similarity tsi people stmaker  trajectories features sampling semantic summarizing 
1077,,Linear Path Skylines in Multicriteria Networks,skyline paths computed costs sets network points differs linear let hull follow definitions resulting method  skylines cost definition vectors geometric 
922,,HaTen2: Billion-scale Tensor Decompositions,haten tensors data method algorithm decomposition products parafac operation tucker factorizes job dnn vectors distributed  haten tensor product algorithm data 
1267,,A General Graph-based Model for Recommendation in Event-based Social Networks,events user group graphs modeling based recommend method nodes tag time weighted learn network problem  modeling recommending events networks user 
981,,SAR: A Sentiment-Aspect-Region Model for User Preference Analysis in Geo-tagged Reviews,modelling users aspects based regional word sentiments topics reviewer poi distributions categories levels latent algorithm  modeled topic aspects sentiments users 
1344,,Efficient and scalable trie-based algorithms for computing set containment relations,settings signatures trie nodes algorithm joined data pretti containing shj patricia relation tuples based cardinalities  sets trie joining nodes containment 
1142,,Ranking Candidate Networks of Relations to Improve Keyword Search over Relational Databases,queries cns systems tuple answer database represented algorithms evaluations keywords results network joins rank called  keywords queries network ranked database 
1306,,AP-Tree: Efficiently Support Continuous Spatial-Keyword Queries Over Stream,keywords query spatial indexed tree efficiency node partitioned location based textual filtered continuously objects matching  query textual spatial keywords approaches 
1305,,Online Frequent Episode Mining,episodes times event data mining sequences frequent occurrences frequencies algorithms minimal definition news based usually  time mining occurrences efficient episode 
1107,,Result Selection and Summarization for Web Table Search,tables select data similarities searching relevant requirement user presenting results web information sections based weight  table select results effective relevance 
1325,,Growing the Charging Station Network for Electric Vehicles with Trajectory Data Analytics,charg gridded stations times problem data electricity optimization trajectories algorithms average roads point total deploying  charging optimization stations data 
947,,Bounded Quadrant System: Error-bounded Trajectory Compression on the Go,bound trajectories algorithms compressing points segment errors deviations locations buffered data online useful theorem provide  bounds compress trajectories algorithms online 
732,,Bump hunting in the dark: Local discrepancy maximization on graphs,node problems graph algorithmic trees sets weight discrepancy heuristic similar model functions works subgraphs connection  algorithm node discrepancy discovering connectivity 
887,,Multi-Constrained Graph Pattern Matching in Large-Scale Contextual Social Graphs,graphs socially based gpm method matched simulate edge patterns fig example bounded algorithms vertex queried  graph social based simulation bounded 
1057,,Dynamic Programming: The Next Step,joined grouped aggregated operators equivalence attributes fig resulting eqvs duplicate tuple left plans value example  join attribute grouped value resulting 
878,,Generating Reading Orders over Document Collections,documentation topical similarities generates models ordered score read cluster specificity searching method learn based graph  document topic scores specificity reading 
952,,A Hybrid Private Record Linkage Scheme: Separating Differentially Private Synopses From Matching Records,records bob securely alice charlie matches privately party differential privacy let smc randomizes protocol synopses  bob alice differential record security 
692,,SpatialHadoop: A MapReduce Framework for Spatial Data,spatially spatialhadoop indexed data partitioned hadoop files queried mapreduce functional nodes pointing layered joins operation  indexing spatial spatialhadoop data files 
730,,Cache-Oblivious Scheduling of Shared Workloads,task cached schedulable data optimizations view problems ordered workload sharing costs tmb algorithms fig examples  cache schedule shared common problem 
1376,,Asymmetric Structure-Preserving Subgraph Queries for Large Graphs,querying subgraphs graph css encrypting structural generating client computations map technical privacy networking sec preserves  queries subgraphs structural encrypted private 
1119,,Identifying Users in Social Networks with Limited Information,matches user twitter nodes graphs similarities function api profiles scoring limitations setting google feature information  nodes user api graph limit 
1246,,DiSCern: A Diversified Citation Recommendation System for Scientific Queries,citations keyword based algorithm recommender discern networks query walks article approach random researcher ranked resulting  citation based keywords walk pagerank 
1016,,Answering Why-Not Questions on Spatial Keyword Top-k Queries,querying object spatially point algorithms studies results similar let vector proposes text ranks indexes user  query points object ranked similarity 
1180,,Smooth Scan: Statistics-Oblivious Access Paths,scan perform smooth accessed tuples operation pages queries morph result execution select optimal data indexing  scan operators accessed path result 
1299,,Network Motif Discovery: A GPU Approach,gpus graphs subgraph memory exists computes based algorithm method sections resp data cpu solution networks  subgraphs method graph gpu computed 
1146,,Time Dependent Transportation Network Models,networks times data modeled speed connect traffic attribute feature junction table area algorithm examples historical  network information connectivity modeling feature 
831,,Query-Time Record Linkage and Fusion over Web Databases,records cache queries data indexed efficiently online attributes algorithm differences update line times based orderings  records cache time queries efficiency 
1219,,DualTable: A Hybrid Storage Model for Update Optimization in Hive,data hive updated dualtable read oper processes base table storage efficiency costs recorded supports performance  data updated operation costs overwrite 
712,,Efficient Secure Similarity Computation on Encrypted Trajectory Data,security data computations protocol trajectories queries value encryptions parties circuit times based distance include keys  trajectory secure computes encryption additions 
